,ContentID,Type,Category,Reaction,sentiment,score,UserID,user_interest,Age,Datetime
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,Negative,0,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2020-11-07 09:43:50
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2021-05-22 19:44:23
2,f332d362-dc48-46c2-a64b-641157c0987e,GIF,soccer,interested,positive,30,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2020-12-12 15:31:52
3,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,worried,Negative,12,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2020-11-17 18:45:49
4,ec8e2d25-5730-4753-a0a2-d1ed41e23623,video,healthy eating,interested,positive,30,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2020-11-17 00:10:23
5,6199f5ca-cc02-410d-a408-e034946de162,video,animals,interested,positive,30,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2021-01-25 04:45:37
6,34123572-64b7-4f3d-b098-a2651d882fb2,video,dogs,adore,positive,72,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2021-02-26 19:31:26
7,34123572-64b7-4f3d-b098-a2651d882fb2,video,dogs,dislike,Negative,10,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2020-06-22 20:30:06
8,48a824bf-e495-4333-8acf-c800947ec2cd,audio,"""soccer""",want,positive,70,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2021-06-04 09:28:29
9,5b379d75-649b-426f-b420-4e0b6e4a0e3d,video,soccer,cherish,positive,70,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2021-02-08 11:34:38
10,2363df47-ee8b-433d-bbfc-34d5ac57e2aa,audio,travel,want,positive,70,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2020-09-20 15:18:44
11,b90bb1f2-9dbf-4802-a0e2-103dac50d272,video,fitness,adore,positive,72,5d454588-283d-459d-915d-c48a2cb4c27f,['travel'],6,2021-01-12 13:26:41
